271,300
336,9
161,211
184,451
244,21
87,355
84,152
144,336
364,181
306,2
123,415
202,284
188,319
377,167
8,236
312,476
477,65
60,345
117,461
429,374
461,247
210,75
112,354
186,286
276,185
486,107
139,181
475,103
275,11
29,262
328,373
295,349
112,36
238,105
282,260
307,406
444,481
320,255
358,223
354,279
402,220
342,49
330,58
20,293
66,24
110,432
236,186
114,146
19,421
233,23
159,332
396,379
311,342
384,191
397,293
86,82
455,293
446,68
147,62
273,79
108,6
47,303
140,71
79,316
55,497
86,336
57,457
230,178
113,75
483,479
370,106
93,495
98,430
209,492
67,153
58,120
341,199
288,465
23,292
112,318
98,28
192,112
256,148
447,326
339,224
308,431
273,165
222,431
304,415
487,465
386,175
275,192
130,165
370,176
483,94
399,84
190,182
344,323
332,91
233,20
